"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"Who designed the new St Paul Cathedral?<br><br>Samuel Pepys<br>Isaac Newton<br>Sir Christopher Wren<br>Isambard Kingdom Brunel"	"Sir Christopher Wren"	"Christopher Wren designed a new St Paul Cathedral after the previous one was destroyed by a great fire in 1666."	"Life in the UK"	
"Where was Florence Nightingale born?<br><br>Italy<br>England<br>Scotland<br>France"	"Italy"	"Florence Nightingale was born in Italy to English parents in 1820."	"Life in the UK"	
"How often are the General Elections held?<br><br>Every 3 years<br>Every 7 years<br>Every 5 years<br>Every year"	"Every 5 years"	"MPs are elected at a General Election, which is held at least every five years."	"Life in the UK"	
"Where did the ancestors of the first farmers come from?<br><br>North-West Europe<br>North Europe<br>South-East Europe<br>North-East Europe"	"South-East Europe"	"The first farmers came to Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe."	"Life in the UK"	
"What is the fundamental principle of British life?<br><br>The rule of law<br>Attending a Church on Sundays<br>Supporting your local team<br>Taking part in festivals"	"The rule of law"	"The rule of law is one of the fundamental principles of British Life."	"Life in the UK"	
"Which country’s flag is not part of the Union Flag?<br><br>England<br>Ireland<br>Wales<br>Scotland"	"Wales"	"The Welsh dragon is not part of the Union Flag."	"Life in the UK"	
"Which style of architecture became popular in the 19th century?<br><br>Gothic<br>Classical<br>Simple<br>Neoclassical"	"Gothic"	"In the 19th century, the medieval ‘gothic’ style became popular once again."	"Life in the UK"	
"Which of these gardens is located in Wales?<br><br>Bodnant Garden<br>Hidcote<br>Mount Stewart<br>Sissinghurst"	"Bodnant Garden"	"Bodnant Garden is in Wales."	"Life in the UK"	
"Which countries are in Great Britain? <br><br>England, Wales, Scotland<br>England, Wales, Scotland, Northern Ireland<br>England, Scotland, Ireland<br>Wales, Northern Ireland, Scotland"	"England, Wales, Scotland"	"Great Britain consists of 3 countries: England, Wales and Scotland."	"Life in the UK"	
"Who is the head of the Church of England?<br><br>The Duke of Edinburgh<br>The Prime Minister<br>The Pope<br>The Monarch"	"The Monarch"	"The monarch is the head of the Church of England. The spiritual leader of the Church of England is the Archbishop of Canterbury."	"Life in the UK"	
"What marked the beginning of “constitutional monarchy”?<br><br>The Magna Carta<br>The Glorious Revolution<br>The English Civil War<br>The Restoration"	"The Glorious Revolution"	"The laws passed after the Glorious Revolution are the beginning of what is called ‘constitutional monarchy’."	"Life in the UK"	
"Who was one of the founders of England’s naval tradition?<br><br>William Shakespeare<br>Oliver Cromwell<br>King James<br>Sir Francis Drake"	"Sir Francis Drake"	"Sir Francis Drake, one of the commanders in the defeat of the Spanish Armada, was one of the founders of England’s naval tradition. His ship (The Golden Hind) was one of the first to sail around the world."	"Life in the UK"	
"Under which king did the people unite to defeat the Vikings? <br><br>Henry I<br>King Alfred the Great<br>Harold<br>King William"	"King Alfred the Great"	"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."	"Life in the UK"	
"Who won two gold medals for running in the 2004 Olympic Games?<br><br>Dame Kelly Holmes<br>Dame Ellen MacArthur<br>Jayne Torvill<br>Christopher Dean"	"Dame Kelly Holmes"	"Dame Kelly Holmes (1970–) won two gold medals for running in the 2004 Olympic Games."	"Life in the UK"	
"When did the Roman army leave Britain?<br><br>AD 410<br>AD 43<br>AD 630<br>AD 100"	"AD 410"	"The Roman army left Britain in AD 410 to defend other parts of the Roman Empire and never returned."	"Life in the UK"	
"Which of these venues is located in Scotland?<br><br>Troxy<br>Wembley Stadium<br>The O2<br>The SECC"	"The SECC"	"The Scottish Exhibition and Conference Centre (SECC) is located in Glasgow, Scotland."	"Life in the UK"	
"What percentage of the population has a grandparent born outside of the UK?<br><br>20%<br>5%<br>15%<br>10%"	"10%"	"Post-war immigration means that nearly 10% of the population has a parent or grandparent born outside the UK."	"Life in the UK"	
"What proportion of the population died because of the Black Death?<br><br>One half<br>One fifth<br>One fourth<br>One third"	"One third"	"One third of the population of England and a similar proportion in Scotland and Wales died because of the Black Death."	"Life in the UK"	
"What language did the Iron Age people speak?<br><br>Anglo-Saxon<br>English<br>Viking<br>Celtic"	"Celtic"	"Their language was part of the Celtic language family."	"Life in the UK"	
"Who became Prime Minister during WWII?<br><br>Winston Churchill<br>Margaret Thatcher<br>Robert Walpole<br>Tony Blair"	"Winston Churchill"	"Hitler invaded Poland and took control of Belgium and the Netherlands. At this time of national crisis, Winston Churchill became Prime Minister."	"Life in the UK"	
"What is the monarch’s ceremonial role?<br><br>Making parliamentary policies<br>Going abroad<br>Travelling in the UK<br>Opening a parliamentary session"	"Opening a parliamentary session"	"The Queen has important ceremonial roles, such as the opening of the new parliamentary session each year."	"Life in the UK"	
"When did people learn how to make bronze?<br><br>10,000 years ago<br>8,000 years ago<br>6,000 years ago<br>4,000 years ago"	"4,000 years ago"	"Around 4,000 years ago, people learned to make bronze"	"Life in the UK"	
"Who mapped the coast of Australia?<br><br>Sake Dean Mahomet<br>Sir Francis Drake<br>Admiral Nelson<br>James Cook"	"James Cook"	"Captain James Cook mapped the coast of Australia."	"Life in the UK"	
"What is the system that automatically deducts tax called?<br><br>Self-Assessment<br>PAYE<br>PAYG<br>HMRC"	"PAYE"	"This system that deducts tax automatically is called ‘Pay As You Earn’, also known as PAYE."	"Life in the UK"	
"What is the money limit for the small claims procedure in England and Wales?<br><br>£4,000<br>£6,000<br>£5,000<br>£10,000"	"£10,000"	"The small claims procedure is used for claims of less than £10,000 in England and Wales."	"Life in the UK"	
"Where in Scotland is known as the home of golf?<br><br>Aberdeen<br>Edinburgh<br>Glasgow<br>St Andrews"	"St Andrews"	"St Andrews in Scotland is known as the home of golf."	"Life in the UK"	
"What must the police officer tell you if you get arrested?<br><br>Ask about your background<br>To put your arms in the air<br>To follow his instructions<br>The reason for your arrest"	"The reason for your arrest"	"A Police officer will tell you the reason for your arrest and you will be able to seek legal advice."	"Life in the UK"	
"Where does the Fringe take place?<br><br>Liverpool<br>London<br>Newcastle<br>Edinburgh"	"Edinburgh"	"The Edinburgh Festival takes place in Edinburgh, Scotland, every summer. The most well-known is the Edinburgh Festival Fringe, also known as the Fringe."	"Life in the UK"	
"What did the “Bill of Rights” confirm?<br><br>Kings can administer justice<br>Kings can collect taxes<br>King's increased power<br>Parliament's increased power"	"Parliament's increased power"	"The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."	"Life in the UK"	
"What do you need to apply for UK citizenship?<br><br>Speak and read English<br>Be able to use computers in English<br>Have a driving license<br>Have a university degree"	"Speak and read English"	"To apply to become a permanent resident or citizen of the UK, you will need to:"	"Life in the UK"	
"Hadrian’s Wall is a popular UNESCO World Heritage Site<br><br>True<br>False"	"True"	"Parts of Hadrian’s Wall, including the forts of Housesteads and Vindolanda, can still be seen. It is a popular area for walkers and is a UNESCO (United Nations Education, Scientific and Cultural Organization) World Heritage Site."	"Life in the UK"	
"Where did the people of the Bronze Age bury their dead?<br><br>Coffin Houses<br>Graveyards<br>Gardens<br>Round barrows"	"Round barrows"	"People lived in roundhouses and buried their dead in tombs called round barrows."	"Life in the UK"	
"What does the TV licence money pay for?<br><br>The BBC<br>Electricity<br>All Free Radio Channels<br>Freeview Channels"	"The BBC"	"The money from TV licences is used to pay for the British Broadcasting Corporation also known as the BBC."	"Life in the UK"	
"Who invented the World Wide Web?<br><br>James Goodfellow<br>Sir Tim Berners-Lee<br>Alexander Fleming<br>Florence Nightingale"	"Sir Tim Berners-Lee"	"World Wide Web was invented by Sir Tim Berners-Lee (1955–) who is British. Information was successfully transferred via the web for the first time on 25 December 1990."	"Life in the UK"	
"Who won gold medals in rowing in five consecutive Olympic Games?<br><br>Sir Chris Hoy<br>Dame Ellen MacArthur<br>Sir Steve Redgrave<br>Sir Roger Bannister"	"Sir Steve Redgrave"	"Sir Steve Redgrave won gold medals in rowing in five consecutive Olympic Games and is one of Britain’s greatest Olympians."	"Life in the UK"	
"How old is Big Ben?<br><br>150<br>170<br>220<br>200"	"150"	"Big Ben, also known as “Elizabeth Tower”, is over 150 years of age."	"Life in the UK"	
"What was the population of the UK in 1901?<br><br>50 million<br>40 million<br>27 million<br>60 million"	"40 million"	"The population of the UK was 40 million in 1901."	"Life in the UK"	
"How long did the Romans stay in Britain?<br><br>600 years<br>100 years<br>400 years<br>300 years"	"400 years"	"The Romans remained in Britain for 400 years."	"Life in the UK"	
"Where does the Prime Minister reside?<br><br>10 Downing Street<br>The Buckingham palace<br>1 Devonshire Terrace<br>76 Charlotte Street"	"10 Downing Street"	"The official home of the Prime Minister is 10 Downing Street, in central London, near the Houses of Parliament."	"Life in the UK"	
"Who was Henry Purcell?<br><br>An actor<br>A poet<br>A gardener<br>A musician"	"A musician"	"Henry Purcell (1659–95) was the organist at Westminster Abbey. He wrote church music and operas."	"Life in the UK"	
"What is the Church of England known as in Scotland and the US?<br><br>The Episcopal Church<br>The Catholic Church<br>The Anglican Church<br>The State Church"	"The Episcopal Church"	"The official Church of the state is the Church of England is called the Episcopal Church in Scotland and the United States. It is a Protestant Church."	"Life in the UK"	
